postal_code,departement,nb_departements,nb_communes,population_2009,menages_2009,naissances_2011,deces_2011,logements_2009,residencesprincipales_2009,residencessec_2009,logvacants_2009,residencesprincipales_proprietaire_2009,ffiscaux_2009,ffiscaux_imposables_2009,revenufiscalmedianmoyen_2010,emploi_2009,population_1564_2009,chomage_1564_2009,actifs_1564_2009,ets_2010,ets_agri_2010,ets_indus_2010,ets_construc_2010,ets_comm_plus_services_2010,ets_comm_2010,ets_admin_2010,ets_service_2010,ets_1_9_2010,ets_10plus_2010
10330,10,1,12,1555.0000000000009,696.01107496191241,9,22,885.62329854080315,696.01107496191241,86.960043111894933,102.65218046699512,514.78301854580593,868,408,15966.625,438.06875644847031,917.56750469632277,64.140747986606087,641.73816770913822,261,126,17,21,63,16,34,47,66,6
10410,10,1,4,4522.00000000001,1765.104761904772,48,34,1848.9332678641481,1765.104761904772,15.933741561934308,67.894764397442998,1469.9634469408732,2334,1490,22072,2098.741450694838,2788.167552096681,110.06892930286608,2056.8974248308277,360,31,13,39,230,117,47,113,139,37
10700,10,1,28,7898.9999999999982,3338.3947834276705,101,97,3867.3624374499973,3338.3947834276705,151.31231307339604,377.65534094893746,2269.3945380404807,4465,2236,18055.047619047618,2773.3578124435053,4809.527008792822,449.80809454377044,3514.9575866155255,922,329,100,65,331,105,97,226,210,50
11150,11,1,5,7149,2958.5231934614944,95,67,3466.6696605572888,2958.5231934614944,165.45739249499991,342.68907460079913,1934.7268689986854,3918,1713,15779.6,1975.5605497117988,4244.4590379563488,464.13872728617713,3025.1839874475281,642,156,53,68,281,94,84,187,158,29
11240,11,1,19,3342.0000000000018,1462.729621120712,30,36,2039.8209563098847,1462.729621120712,386.2770891875947,190.81424600157771,1098.9921217035198,1781,675,15061.111111111111,709.49778149563247,1965.5143349641282,137.27888806869154,1245.8820107053011,536,262,19,52,144,41,59,103,103,3
11330,11,1,20,1503.0000000000002,732.80468906341218,11,22,1549.4338456802836,732.80468906341218,699.29383601320785,117.33532060366304,545.27558351890002,707,202,12179.700000000001,414.33008367974321,929.51537236379409,129.01088923272488,586.39059562785656,279,150,12,31,51,12,35,39,33,3
11410,11,1,14,2028.9999999999991,854.77388589902739,33,17,1143.1787058258856,854.77388589902739,176.40500649449123,111.99981343236702,622.66810766727053,1120,530,17526.5,561.07334146782864,1235.3317074249906,80.289838008259693,945.75792120559038,333,170,18,29,75,21,41,54,52,5
11540,11,1,1,947,411,8,6,690,411,248,31,322,522,229,15675,150.48592573257301,588,46,397,166,84,9,16,50,20,7,30,20,2
11700,11,1,14,9454,4111.782037887464,92,125,5648.0706746887963,4111.782037887464,847.59734074826667,688.69129605306557,2967.4278717744469,5453,1997,14816.857142857143,2385.6986793404017,5554.9525990553329,557.84537585143869,3819.7023139712965,1454,825,64,99,364,132,102,232,214,34
12150,12,1,5,4089.00000000001,1821.737446133679,47,39,2687.8474470492974,1821.737446133679,646.57075530139105,219.53924561423329,1300.1811773448192,2445,1097,16747.400000000001,1676.2438669611649,2462.1107926052973,126.00826832088612,1803.9514309993135,526,169,39,38,231,72,49,159,133,22
12240,12,1,6,4784.9999999999945,2007.70221692735,37,58,2676.3461054063591,2007.70221692735,467.6969065599796,200.94698191902899,1591.6778777594479,2622,956,14054.833333333334,1668.9849738796975,2686.0294634654751,136.32221786728513,1987.7641469009891,865,423,85,55,227,58,75,169,125,18
12330,12,1,8,8935.9999999999891,3568.618192383426,94,103,4592.9883647264014,3568.618192383426,687.74008770456089,336.6300846384151,2762.6525797415661,4888,2636,18489,2177.2528789650055,5435.8211601698476,226.92796998078722,4150.6705326874162,952,359,70,100,339,90,84,249,164,28
12410,12,1,2,1374,585.7171132074011,13,17,1103.5570542538289,585.7171132074011,449.39238516335269,68.447555883075594,468.1094859305141,836,301,15360,588.95316385874912,818.26619662233895,21.104800220159859,611.99417768942601,326,139,23,18,119,28,27,91,64,8
12490,12,1,5,2652.9999999999982,1167.1986306815704,25,30,2023.7126086330973,1167.1986306815704,737.95027511713681,118.56370283438966,916.09634876136261,1492,628,15803.1,601.94998612474524,1588.9831140737206,105.59956070062094,1139.6162897888814,318,110,22,38,114,24,34,90,68,6
12600,12,1,6,3037,1447.4673216016438,18,56,2384.3101695705896,1447.4673216016438,708.0551707903096,228.7876771786363,1102.3708924961363,1736,701,14279.833333333334,1134.9236793974312,1659.2420215099507,66.320023764774305,1218.9240414489486,511,231,51,37,160,46,32,114,121,14
12800,12,1,8,5210.9999999999982,2352.4891491816247,38,90,3280.8638391420973,2352.4891491816247,710.95867039261987,217.41601956784783,1805.3987350944706,2986,1184,15714,1507.2203519593345,2869.0355045352908,94.524472609020066,2058.7047393065855,837,356,88,64,250,79,79,171,135,17
13007,13,1,1,36188,19410.096043227801,404,350,21975.287999498196,19410.096043227801,831.62916361176303,1733.5627926585803,10482.2926584588,23314,14121,22572,15010.811971572399,23180.558668031499,1759.59828747797,16726.166079398699,3770,19,178,208,2738,597,627,2141,800,149
13015,13,1,1,78587,28384.084776726999,1436,525,30334.5450001969,28384.084776726999,118.739831509109,1831.72039196078,10161.898085270399,40028,12258,9974,24158.854622201099,48116.394061990897,7238.0955246392305,27019.122167137997,5282,16,333,897,3194,1149,842,2045,1561,387
13110,13,1,1,17181,6998.2566687654908,284,170,7496.1986420167004,6998.2566687654908,12.491954494890098,485.45001875632005,2942.8191634308901,10288,4099,14677,4851.7156819237907,10595.694651604001,1127.4869270118102,6202.5138167537807,1238,49,82,110,833,365,164,468,272,77
13120,13,1,1,20785,8517.9978974618625,295,169,9073.0495779375215,8517.9978974618625,48.005890808973703,507.04578966668703,4511.8386660062806,12096,6390,18453,7649.2712115188306,13650.966126016201,1088.9382440412001,9520.6488352162396,1835,38,144,221,1125,362,307,763,491,133
13150,13,1,3,14937.000000000002,6065.6739550569082,187,144,7116.9750998697637,6065.6739550569082,190.06436650851046,861.23677830434588,3430.3151076048871,8739,3599,16262.166666666666,5671.5397121169381,9873.3857088595578,1044.5845938365835,6216.8614144766952,1629,264,103,160,915,315,187,600,410,82
13230,13,1,1,8714.00000000002,3815.99999999996,107,81,4316.19058553383,3815.99999999996,301.35706084959708,198.83352468427,1538.3066812761901,4968,2183,15978,3041.2203048851898,5585.0788070611397,632.798099447543,3691.23477620422,578,80,54,25,337,94,82,243,168,38
13320,13,1,1,13461,4938.91463566316,121,106,5142.1825795523901,4938.91463566316,71.395727981738204,131.872215907499,3763.6947030190399,7208,4879,26538,4635.73289488095,8596.9403325819712,418.93487409554803,6087.5375221476697,1217,12,65,144,803,228,193,575,293,93
13400,13,1,1,46568,19025.385623733,589,508,20649.575867439198,19025.385623733,281.19311160433301,1342.99713210186,8933.5885499177202,27572,14143,18362,25733.208529424301,29559.268148604002,2792.4141421439199,20936.638859254301,5500,142,362,540,3519,1216,937,2303,1643,458
13480,13,1,1,8059,3001,88,50,3217,3001,76,140,2396,4685,3277,27325,3777.2219488917103,5098,266,3575,1196,18,36,113,881,340,148,541,373,92
13560,13,1,1,6405,2522,103,56,2687,2522,45,120,1419,3733,1747,17501.5,1616.0297299824599,4133,411,3015,601,120,36,79,295,104,71,191,131,23
13640,13,1,1,5143,1880,59,42,2074,1880,86,108,1013,2638,1194,17613,1473.4064498863702,3204,267,2257,401,31,23,39,236,65,72,171,92,27
13720,13,1,2,7696.99999999999,2812.9954300444042,78,53,3040.2458347513339,2812.9954300444042,124.7095991701932,102.54080553674299,2171.8295973316112,4090,2562,24441.5,1003.5218653681691,5009.2284462954003,254.62915532043587,3395.5381632486669,501,10,21,86,292,87,92,205,101,15
13800,13,1,1,42460,17256.614476549501,550,286,18287.466008867796,17256.614476549501,152.03853876094499,878.81299355733302,9211.3093846700303,23494,13251,18864,16260.112596180701,28998.2578148832,2531.95223473237,20946.6626776466,2760,112,159,203,1767,680,519,1087,631,173
13870,13,1,1,4144,1799.99999999994,34,34,1909.6515397082003,1799.99999999994,25.063209076175003,84.588330632090802,1106.54543697178,2380,1334,19064,1119.7361545107601,2600.6480017304002,189.285366715164,1902.3021588720203,404,75,29,41,202,70,57,132,120,16
13960,13,1,1,7471,3519.2195773870899,61,66,5128.03514049972,3519.2195773870899,1353.4480134122102,255.36754970041702,2407.2774618769599,4863,3254,25244,1070.1749383358001,4652.5008821376096,333.03822598862399,3278.9821057739705,543,11,17,38,386,78,91,308,121,13
14113,14,1,2,973.00000000000102,451.46044098573299,10,10,961.89489791457106,451.46044098573299,461.02496878901201,49.409488139825093,293.30090791180305,588,318,18780,311.01708910139405,654.667963683528,56.067444876783391,472.48378728923501,136,13,6,9,77,17,31,60,33,4
14150,14,1,1,9352,4395.9771958479896,85,130,6490.56023049553,4395.9771958479896,1709.5876432816301,384.99539136591807,2473.5469054850801,5794,3303,19742,3112.2399058012902,5609.6857246764503,478.37211835617506,3932.2791497481903,772,28,36,47,550,164,111,386,220,49
14240,14,1,14,7127.0000000000027,2710.7245812535762,96,66,3145.7686819878272,2710.7245812535762,241.69032524367086,193.35377549057947,2040.6530254266879,3735,1690,16566.636363636364,1292.996331832197,4396.7567868116066,268.54710355594057,3268.3994799640168,669,276,26,59,222,63,86,159,135,21
14330,14,1,10,6027.0000000000082,2472.7030190532942,73,73,2818.3338909279273,2472.7030190532942,213.58918901768038,132.04168285695548,1691.7089028755547,3320,1442,15727.222222222223,1451.97401794903,3696.6547668394692,267.63305942573805,2599.7365880872512,485,185,23,39,179,67,59,112,120,21
14410,14,1,11,5128.0000000000018,2070.0873555105727,82,52,2468.1924495195262,2070.0873555105727,186.59907495655904,211.50601905239338,1370.9708272502392,2815,1256,15728.6,808.63179437420615,3127.318289697113,208.21216144362228,2381.335242392553,447,236,18,30,118,45,45,73,74,10
14490,14,1,13,4727.0000000000009,1828.0074684274675,77,45,2116.1915527346218,1828.0074684274675,170.38566392882834,117.79842037832672,1444.3053995769817,2642,1310,17644.166666666668,749.12054134524124,3050.9511048074455,204.02144314312,2352.7056163874181,426,177,25,41,141,57,42,84,102,8
14590,14,1,4,2564,989.26150290149508,28,20,1238.7457578938149,989.26150290149508,195.88081797235037,53.603437019969384,738.98824457065234,1423,703,18226.5,484.06899528956194,1579.1135112709912,84.90453287500398,1197.88383332131,234,62,13,27,104,32,28,72,58,5
14680,14,1,4,3319,1258.5056106898003,52,27,1325.993736914937,1258.5056106898003,17.399605814239969,50.088520410895846,858.91704782434704,1780,975,19406.75,655.46041150184521,2150.7530663422872,135.29547895928064,1616.8611313277172,217,39,15,22,103,33,38,70,55,15
14770,14,1,10,2306.9999999999991,925.85930235561852,33,19,1184.6955768712594,925.85930235561852,150.36601255368339,108.4702619619562,719.52279387823194,1260,512,15014.875,308.37400693886286,1429.7851506801196,108.70707527637009,1046.0791133734322,222,119,9,22,49,18,23,31,31,3
14860,14,1,4,5273,2016.1334638390799,46,36,2169.6730760162318,2016.1334638390799,74.61048960755069,78.929122569601205,1625.1858539109048,2702,1772,21415.125,998.8330112348707,3434.3931604430409,152.7883391522426,2442.7068979333753,329,49,21,50,161,50,48,111,78,13
