departement,nb_communes,population_2009,menages_2009,naissances_2011,deces_2011,logements_2009,residencesprincipales_2009,residencessec_2009,logvacants_2009,residencesprincipales_proprietaire_2009,ffiscaux_2009,ffiscaux_imposables_2009,revenufiscalmedianmoyen_2010,emploi_2009,population_1564_2009,chomage_1564_2009,actifs_1564_2009,ets_2010,ets_agri_2010,ets_indus_2010,ets_construc_2010,ets_comm_plus_services_2010,ets_comm_2010,ets_admin_2010,ets_service_2010,ets_1_9_2010,ets_10plus_2010,ratio_imposable_2009
03,320,343046.00000000012,159601.38850593605,3196,4221,198835.50145243798,159601.38850593605,14595.331097338287,24638.781849163748,100785.40178753593,207155,99126,16479.471153846152,130985.79556435156,210214.51070427257,16520.728198739846,147630.16142057901,31127,7338,1864,2664,15234,5213,4027,10021,7988,1834,0.47851125968477709
04,200,159450,71620.858011630087,1578,1657,118485.72760673361,71620.858011630087,38377.567793810864,8487.3018012925804,41778.66748768941,93412,45975,16842.470588235294,58679.997743404565,98468.551877091275,8157.4290101273145,69670.293885179766,20697,3110,1272,2180,11045,3022,3090,8023,4753,896,0.49217445296107565
32,463,187181,82612.154952240511,1587,2166,101303.60516525789,82612.154952240511,9495.5226804387221,9195.9275325786602,56442.578259713635,110010,50603,17128.406050955415,69980.482278014199,113028.30341159193,6985.7105614584052,81689.582359688735,28571,11179,1463,2411,10457,3154,3061,7303,5728,1037,0.45998545586764839
66,226,445890.00000000006,201985.11134464914,4843,4966,317268.69191169727,201985.11134464914,92694.379803276825,22589.200763771383,121757.04756971542,268618,122552,16484.757062146891,152234.73810475427,272470.11114963767,28821.217528574234,181678.48654705868,49755,6853,2425,5655,28118,8769,6704,19349,11606,2334,0.45623152580988618
87,201,374849.00000000006,175857.55516801236,3907,3937,208628.87978993912,175857.55516801236,15957.967259555144,16813.357362371942,107684.50884509968,214125,111010,16754.889447236183,151235.13602146361,238403.26665493299,16919.78840794296,167143.49112637644,30803,5634,2078,2853,15736,4624,4502,11112,8221,2071,0.51843549328663163
92,36,1561745,689129.65310735407,25084,9769,755486.01763571089,689129.65310735407,18915.489734882438,47440.87479347406,290894.25140177086,893089,612557,27693.638888888891,940793.69570333511,1049126.2497407042,78090.813277606023,811698.5694937025,142892,222,5814,8816,110795,21626,17245,89169,33893,11085,0.68588572919384294
80,782,569775,238134.68668056757,6989,5415,278318.5685810927,238134.68668056757,22149.229575686601,18034.652324838829,147256.65438469691,317812,156150,18124.471864951767,220772.95429900865,372576.87154282851,34486.533411573459,258427.00374085156,39119,6646,2370,3161,20238,6284,6704,13954,11844,2957,0.49132820661271442
63,470,629416,286792.44714402087,6828,5888,358374.88462129701,286792.44714402087,36711.191525244394,34871.245952031932,175989.99362203979,363571,194609,17623.474477958236,262645.99179958808,414921.61493376608,29819.219292642578,292263.91007679712,55971,9652,3541,5163,29169,8686,8446,20483,14359,3664,0.53527096495595083
41,291,327868,143246.31668332365,3667,3365,173540.17580929986,143246.31668332365,15003.938201859652,15289.920924116528,96843.545912290079,188954,102046,18870.600746268658,126361.18728059862,201127.1167199543,15150.071716785336,147085.74189348693,25822,4676,1756,2701,13116,4058,3573,9058,7793,1803,0.54005736846004848
33,542,1434661,638492.2194402219,17098,11817,747542.05074228847,638492.2194402219,64651.568368841603,44398.26293322604,357013.9718097173,828446,454038,17948.375722543351,612454.79748426005,950278.75001862738,74888.227438822825,679696.9973285069,138624,16159,6894,14315,81287,24242,19969,57045,36616,9124,0.54805986147558194
45,334,653510.00000000012,278099.2779062363,8686,5514,318136.42641789734,278099.2779062363,16936.850654566279,23100.297857094818,171782.87215577182,364713,212803,19868.220820189275,273684.26554985432,420061.87239152601,30970.197709879176,308392.14478159096,46711,5046,2866,4918,27551,8615,6330,18936,13498,3922,0.58348070948937936
56,261,716182,317095.11867174046,7895,7436,422130.58136677486,317095.11867174046,79073.671121078238,25961.791573956303,215203.06940611807,410282,214400,17602.486538461537,278041.69986832823,447752.90395628888,30883.931135944054,315974.62756654545,62013,10128,3823,6165,33021,9481,8876,23540,17055,4030,0.52256740485812192
79,305,366338.99999999988,158663.89645883982,4006,3722,180621.32357037204,158663.89645883982,9128.8829287950757,12828.544182737127,108316.21749361599,206364,102604,16699.726643598617,155067.02316914743,227925.59501491679,14937.032321218181,168767.32616539631,30007,7249,1851,2740,14200,4074,3967,10126,8056,2270,0.49719912387819581
05,177,135836,61084.880566946893,1399,1232,125109.45139596822,61084.880566946893,57315.919144094631,6708.6516849267109,36752.756433416049,80890,41933,17337.814685314686,57972.077730721059,85390.119020501937,5062.8282236228624,62403.907771605904,21095,2866,1053,1901,11119,2741,4156,8378,4861,956,0.51839535171220175
65,474,229670,103779.06217845401,2110,2657,148497.46317944484,103779.06217845401,33396.886678531431,11321.51432245947,66864.439441891533,138975,67855,18281.12075471698,90270.955410572074,141998.00751790064,11102.278099121813,100202.49284160254,27699,5979,1399,2568,13488,3915,4265,9573,6281,1310,0.488253282964562
70,545,239193.99999999997,101963.25301771476,2643,2338,120570.7902677401,101963.25301771476,8270.5111765441234,10337.02607348132,69341.07705832897,134528,66056,17619.292929292929,82185.244291972645,151158.6533440334,11537.050382398438,108819.59568728118,18449,3258,1356,1994,8931,3010,2910,5921,5089,1121,0.49102045670789723
01,419,588853,239057.61425813229,7265,4305,274974.89468936599,239057.61425813229,16894.207213274723,19023.073217958983,148889.89405332642,315705,180839,20341.633838383837,215105.64032705681,381238.82184511051,23784.102251059281,288328.18821078655,45604,5512,3745,4999,25219,7528,6129,17691,12679,3365,0.57281006002438983
15,260,148380,67093.201519467591,1237,1919,96786.54642795003,67093.201519467591,19728.426352412425,9964.9185560699807,45771.534602686297,89247,39767,15111.24537037037,60613.87578035261,91339.034154543406,5000.4263382701756,66364.82203831189,19061,6599,1195,1550,7607,2296,2110,5311,4292,868,0.44558360505115019
58,312,220199,102845.99613187589,1999,2995,139229.01066736449,102845.99613187589,21969.999929737496,14413.014605751023,67819.783894502791,130852,63455,16635.234317343173,82003.785184686305,133284.9219614967,10899.236178122086,91194.596388917707,19276,4758,1141,1663,9117,2753,2597,6364,5349,1162,0.48493718093724208
67,527,1094439,460500.34677708201,13030,8258,505760.7849750311,460500.34677708201,11899.85492035421,33360.583277595309,260983.91466656962,593892,345003,21010.03564547206,464857.32015988656,733997.09653764113,55092.582039531066,537344.09790174547,86051,7165,5380,7308,53034,15499,13164,37535,25672,6546,0.58091875290456851
91,196,1208004,467035.30058068322,18493,7292,499607.94005890674,467035.30058068322,6793.8388212384552,25778.80065698512,283675.29854427959,654935,433001,24943.732804232804,432575.54897186853,803352.78683806909,54064.982260006276,599993.46410385985,77390,1173,3642,9204,52175,14989,11196,37186,20614,6408,0.66113583790757857
59,650,2571940,1044527.3997488181,36678,21697,1122348.6640858431,1044527.3997488181,12348.01665846168,65473.247678563326,582033.84914561512,1399565,675377,18391.650855365475,984937.40883002768,1696984.3316165926,173369.72047701769,1151347.2143922911,157110,8590,8754,12173,100011,30193,27582,69818,44640,14576,0.48256208178969895
49,363,780082,328432.30904931872,10320,6227,360144.35340398189,328432.30904931872,10303.267988843263,21408.776365819591,196444.01544895343,417162,214435,17188.222535211269,323352.59901903028,497833.55263000249,35444.396847906035,363689.12495189894,59201,10328,3915,5235,31127,9150,8596,21977,16898,4798,0.51403291766747694
39,544,261277,114506.09811926637,2758,2593,141009.89741673812,114506.09811926637,15147.991839206301,11355.807458265448,73292.444405514063,146574,76500,18486.567602040817,99411.035426364149,162816.97450018098,11350.512614273028,119435.70389692242,22842,3327,2054,2189,11642,3674,3630,7968,6549,1521,0.52192066805845516
25,594,525276,229297.90057803883,6826,4146,258072.07980888296,229297.90057803883,11902.037090298983,16872.142140545169,134080.40072097076,289161,160958,19984.743529411764,221402.3467338731,343780.00233052502,26365.475349647717,249695.28690570133,38760,3999,2907,3469,21656,6544,6729,15112,11292,2925,0.5566379975169542
82,195,239291,100245.83500434876,2978,2206,118367.18255550094,100245.83500434876,7304.6364590856574,10816.711092066615,66810.695189036356,138407,61915,16222.826470588236,85176.827089257771,148453.82857188155,12585.514013151222,106462.04573483588,25675,6784,1493,2628,11709,4195,3061,7514,5909,1281,0.44734009118035939
73,305,411007.00000000006,178819.97353745188,4917,3272,315846.29048495699,178819.97353745188,121062.62954255985,15963.687404945184,106361.69229980372,238819,139151,19963.357388316152,184466.29009936779,266704.36298768438,15079.693413768062,198151.29931672735,52915,3902,2743,5266,30023,7240,10981,22783,13074,3171,0.58266302094891953
